episode,timestep,reward
1,200,-22.8
3,400,-25.4
5,600,-20.2
7,800,-26.05
9,1000,-28.0
12,1200,-21.7
14,1400,-11.5
17,1600,-21.7
19,1800,-18.75
21,2000,-19.55
23,2200,-22.85
25,2400,-22.15
27,2600,-19.5
29,2800,-22.8
31,3000,-28.0
33,3200,-25.4
35,3400,-26.7
37,3600,-19.55
39,3800,-22.8
41,4000,-22.15
43,4200,-29.95
45,4400,-26.05
47,4600,-18.9
50,4800,-16.5333
52,5000,-25.4
54,5200,-25.4
56,5400,-23.55
58,5600,-23.45
60,5800,-26.05
62,6000,-28.65
64,6200,-23.45
67,6400,-7.4667
69,6600,-19.55
71,6800,-21.05
73,7000,-23.45
76,7200,-18.3333
78,7400,-36.45
80,7600,-24.9
82,7800,-17.9
84,8000,-31.9
86,8200,-25.4
88,8400,-29.95
91,8600,-14.8333
93,8800,-26.05
95,9000,-29.95
97,9200,-31.9
99,9400,-18.3
101,9600,-22.8
103,9800,-19.55
105,10000,-21.5
107,10200,-22.8
109,10400,-18.05
113,10600,-14.85
115,10800,-26.7
117,11000,-29.3
119,11200,-18.15
121,11400,-22.8
123,11600,-23.45
125,11800,-29.3
127,12000,-13.15
129,12200,-20.2
131,12400,-27.35
133,12600,-21.5
135,12800,-19.55
137,13000,-36.45
139,13200,-31.25
142,13400,-21.1667
144,13600,-21.5
146,13800,-15.4
148,14000,-27.35
151,14200,-15.2667
153,14400,-34.5
155,14600,-24.5
157,14800,-26.05
159,15000,-21.4
161,15200,-29.3
163,15400,-29.3
165,15600,-28.65
167,15800,-26.05
169,16000,-25.4
171,16200,-24.75
173,16400,-22.8
175,16600,-17.6
177,16800,-26.7
179,17000,-29.95
181,17200,-27.35
184,17400,-13.9667
186,17600,-21.5
188,17800,-15.65
190,18000,-20.85
192,18200,-26.05
194,18400,-22.8
196,18600,-24.75
198,18800,-24.75
200,19000,-22.15
202,19200,-22.15
204,19400,-29.3
206,19600,-24.1
208,19800,-8.0
211,20000,-19.5667
213,20200,-22.8
215,20400,-23.05
217,20600,-24.75
219,20800,-33.2
221,21000,-27.6
223,21200,-33.85
225,21400,-28.0
227,21600,-27.35
229,21800,-33.85
231,22000,-21.5
233,22200,-19.55
235,22400,-18.9
237,22600,-28.0
239,22800,-37.1
241,23000,-20.85
243,23200,-27.35
245,23400,-16.95
247,23600,-25.4
249,23800,-38.4
251,24000,-25.4
253,24200,-21.25
255,24400,-25.4
257,24600,-20.85
260,24800,-28.9333
262,25000,-21.5
264,25200,-19.55
266,25400,-26.7
268,25600,-32.55
270,25800,-26.05
272,26000,-20.2
274,26200,-19.6
276,26400,-23.45
278,26600,-25.4
280,26800,-15.25
282,27000,-21.5
284,27200,-23.45
286,27400,-20.2
288,27600,-35.15
290,27800,-31.25
292,28000,-23.45
295,28200,-20.7333
297,28400,-20.85
299,28600,-20.2
301,28800,-17.0
304,29000,-17.4
306,29200,-26.05
308,29400,-31.9
310,29600,-29.3
